Actual,Linear_Regression_Pred,Ridge_Regression_Pred
111,107.63716179491934,107.64108860846449
81,87.85532681783677,87.85615876314338
37,55.65144637558651,55.65704011959508
152,169.07538186820983,169.06880215142692
101,103.39456517003241,103.39184020076353
137,109.25048356867829,109.24937790194208
127,145.892839200966,145.88526337486277
163,129.07489474762994,129.0728681370562
164,138.27008228334685,138.27025522098938
111,122.38189934587297,122.38124871591792
13,32.81665045626333,32.82127794975578
156,150.49894488963534,150.49671078800696
198,195.03034776571155,195.01749237258764
236,72.12078322971621,72.13054622962747
151,123.43705931707373,123.43866508412061
122,130.52050817245177,130.51712165602515
70,55.61269779893668,55.61813417213432
79,97.93362201907014,97.93283625181218
127,104.64418331355058,104.64660901743234
170,159.44116472110238,159.4351388375149
122,134.9250472759172,134.92293967564592
147,118.89668405352967,118.8960984809555
74,82.89755592524875,82.89975608223646
117,101.69717032711314,101.69484431252258
38,50.64961029147324,50.6509346170897
109,101.7171480384953,101.72112982249979
45,49.8702851014113,49.875572975311094
253,214.47777213516952,214.47781326405033
113,98.64790181732984,98.6471810517136
53,70.20642754294472,70.21024731392316
140,156.0143289774141,156.00428593301035
169,136.02515547961028,136.02363619986352
78,37.02752690973628,37.03514595421228
148,92.54452059205329,92.55021059415506
88,99.28449122474011,99.28337392657919
78,85.74227789233143,85.74313110389585
115,90.55959010030658,90.55759545644842
27,33.32699165289219,33.332151640804355
15,20.575015271739403,20.583512572239897
91,101.99467313400655,101.99422395042718
87,80.64574998201158,80.64747249449852
93,85.94271101697841,85.9441609337413
66,58.75304127931332,58.75444916676728
98,90.28086039483998,90.2810393158054
37,37.62341715864993,37.62578466753159
121,108.49638414268645,108.50174837782282
102,125.13124689845326,125.1268353113728
144,129.26048190738788,129.2610278095575
65,77.31271286808231,77.31454702560949
154,121.79802931120267,121.79774705664174
93,83.38778020450921,83.38685288533188
56,69.22352340728901,69.22610828975466
84,77.19529860817369,77.19719050088187
85,82.72996756521194,82.7306071017504
142,131.51087641067517,131.5089583073605
115,134.67992234099717,134.67555040962333
96,104.86816223081438,104.86717243008735
